ID,TERMINAL_NUMBER,ADDRESS,Zipcode,Neighborhood,,,,,
156,31035,N Quincy St & Glebe Rd,,,"Sheridan, Barry Farm, Buena Vista",,,,
170,31036,George Mason Dr & Wilson Blvd,,,Historic Anacostia,,,,
176,31037,Ballston Metro / N Stuart & 9th St N,,,"National Mall, Potomac River",,,,
180,31038,Glebe Rd & 11th St N,,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",,,,
181,31039,Wilson Blvd & N Quincy St,,,"Howard University, Le Droit Park, Cardozo/Shaw",,,,
182,31040,Fairfax Dr & Kenmore St,,,"Howard University, Le Droit Park, Cardozo/Shaw",,,,
189,31041,Prince St & Union St,,,"Near Southeast, Navy Yard",,,,
190,31042,Market Square / King St & Royal St,,,Crystal City,,,,
191,31043,Saint Asaph St & Pendleton  St,,,Aurora Highlands,,,,
192,31044,King St & Patrick St,,,Crystal City,,,,
194,31045,Commerce St & Fayette St,,,"Kalorama Heights, Adams Morgan, Lanier Heights",,,,
195,31046,Henry St & Pendleton St,,,"Howard University, Le Droit Park, Cardozo/Shaw",,,,
196,31047,Braddock Rd Metro,,,Aurora Highlands,,,,
197,31048,King St Metro South,,,"Near Southeast, Navy Yard",,,,
201,31049,Utah St & 11th St N,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
202,31050,Barton St & 10th St N,,,"Union Station, Stanton Park, Kingman Park",,,,
203,31051,Arlington Blvd & N Queen St,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
118,31052,Potomac Ave & 35th St S,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
211,31053,Columbia Pike & S Courthouse Rd,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
212,31054,Walter Reed Community Center / Walter Reed Dr & 16th St S,,,"Capitol Hill, Lincoln Park",,,,
213,31055,28th St S & S Meade St,,,"Capitol Hill, Lincoln Park",,,,
219,31056,S Troy St & 26th St S,,,"Capitol Hill, Lincoln Park",,,,
220,31057,S Four Mile Run Dr & S Shirlington Rd,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
221,31058,S Oakland St & Columbia Pike,,,Alcova Heights,,,,
222,31059,S Four Mile Run & Walter Reed Dr,,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",,,,
223,31060,S Arlington Mill Dr & Campbell Ave,,,Shirlington,,,,
224,31061,S Kenmore & 24th St S,,,"Friendship Heights, American University Park, Tenleytown",,,,
227,31062,S George Mason Dr & 13th St S,,,"Cathedral Heights, McLean Gardens, Glover Park",,,,
243,31063,S George Mason Dr & Four Mile Run,,,"Brightwood Park, Crestwood, Petworth",,,,
244,31064,S Stafford & 34th St S,,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",,,,
245,31065,N Pershing Dr & Wayne St,,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",,,,
246,31066,Columbia Pike & S Orme St,,,Foxcroft Heights,,,,
255,31067,Columbia Pike & S Walter Reed Dr,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
256,31068,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,,,"River Terrace, Benning, Greenway, Dupont Park",,,,
257,31069,Pershing & N George Mason Dr,,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",,,,
306,31070,Arlington Blvd & Fillmore St,,,"Georgetown, Burleith/Hillandale",,,,
307,31071,Long Bridge Park/Long Bridge Dr & 6th St S,,,"Brookland, Brentwood, Langdon",,,,
311,31072,31st & Woodrow St S,,,"National Mall, Potomac River",,,,
312,31073,Washington Blvd & Walter Reed Dr,,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",,,,
313,31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,,,"National Mall, Potomac River",,,,
323,31075,Rolfe St & 9th St S,,,"National Mall, Potomac River",,,,
324,31076,Shirlington Transit Center / S Quincy & Randolph St,,,"Capitol Hill, Lincoln Park",,,,
329,31077,Iwo Jima Memorial/N Meade & 14th St N,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
333,31078,Arlington Blvd & S George Mason Dr/NFATC,,,"Friendship Heights, American University Park, Tenleytown",,,,
332,31079,Lee Hwy & N Cleveland St,,,"Union Station, Stanton Park, Kingman Park",,,,
335,31080,Lee Hwy & N Scott St,,,North Highland,,,,
331,31081,Duke St & John Carlyle St,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
337,31082,Eisenhower Ave & Mill Race Ln,,,"Shaw, Logan Circle",,,,
338,31083,Potomac Greens Dr & Slaters Ln,,,"Kalorama Heights, Adams Morgan, Lanier Heights",,,,
339,31084,Ballenger Ave & Dulaney St,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
340,31085,Mount Vernon Ave & E Nelson Ave,,,"Georgetown, Burleith/Hillandale",,,,
341,31086,Mount Vernon Ave & E Del Ray Ave,,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",,,,
342,31087,Monroe Ave & Leslie Ave,,,"Union Station, Stanton Park, Kingman Park",,,,
343,31088,Mount Vernon Ave & Kennedy St,,,"Georgetown, Burleith/Hillandale",,,,
344,31089,Court House Metro / 15th & N Uhle St,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
346,31090,6th & S Ball St,,,Crystal City,,,,
352,31091,S Joyce & 16th St S,,,"Brookland, Brentwood, Langdon",,,,
354,31092,Lee Hwy & N Monroe St,,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",,,,
355,31093,21st St N & N Pierce St,,,"Union Station, Stanton Park, Kingman Park",,,,
356,31094,Lee Hwy & N Kirkwood Rd,,,"Union Station, Stanton Park, Kingman Park",,,,
364,31095,Army Navy Dr & S Nash St,,,"Ivy City, Arboretum, Trinidad, Carver Langston",,,,
368,31096,S Walter Reed Dr & 8th St S,,,"Capitol Hill, Lincoln Park",,,,
380,31097,Saint Asaph & Madison St,,,"Capitol Hill, Lincoln Park",,,,
381,31098,King St Metro North / Cameron St,,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",,,,
382,31099,Madison & N Henry St,,,"Union Station, Stanton Park, Kingman Park",,,,
14,31100,19th St & Pennsylvania Ave NW,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
15,31101,14th & V St NW,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
16,31102,11th & Kenyon St NW,,,"National Mall, Potomac River",,,,
17,31103,16th & Harvard St NW,,,,,,,
18,31104,Adams Mill & Columbia Rd NW,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
19,31105,14th & Harvard St NW,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
20,31106,Calvert & Biltmore St NW,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
21,31107,Lamont & Mt Pleasant NW,,,"National Mall, Potomac River",,,,
22,31108,4th & M St SW,,,"Georgetown, Burleith/Hillandale",,,,
47,31109,7th & T St NW,,,"Union Station, Stanton Park, Kingman Park",,,,
46,31110,20th St & Florida Ave NW,,,"West End, Foggy Bottom, GWU",,,,
43,31111,10th & U St NW,,,"Union Station, Stanton Park, Kingman Park",,,,
85,31112,Harvard St & Adams Mill Rd NW,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
135,31113,Columbia Rd & Belmont St NW,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
214,31114,18th St & Wyoming Ave NW,,,"Cathedral Heights, McLean Gardens, Glover Park",,,,
148,31115,Columbia Rd & Georgia Ave NW,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
149,31116,California St & Florida Ave NW,,,Crystal City,,,,
230,31117,15th & Euclid St  NW,,,"National Mall, Potomac River",,,,
249,31118,3rd & Elm St NW,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
272,31119,14th & Belmont St NW,,,"West End, Foggy Bottom, GWU",,,,
274,31120,10th & Florida Ave NW,,,North Rosslyn,,,,
301,31121,Calvert St & Woodley Pl NW,,,Radnor/Fort Myer Heights,,,,
386,31122,16th & Irving St NW,,,Radnor/Fort Myer Heights,,,,
397,31123,14th & Girard St NW,,,Colonial Village,,,,
418,31124,14th & Irving St NW,,,Radnor/Fort Myer Heights,,,,
453,31125,15th & W St NW,,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",,,,
484,31126,11th & Girard St NW,,,"National Mall, Potomac River",,,,
489,31127,22nd & H St NW,,,Clarendon - Courthouse,,,,
490,31128,23rd & M St NW,,,"Kalorama Heights, Adams Morgan, Lanier Heights",,,,
501,31129,15th St & Pennsylvania Ave NW/Pershing Park,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
51,31200,Massachusetts Ave & Dupont Circle NW,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
23,31201,15th & P St NW,,,Clarendon - Courthouse,,,,
24,31202,14th & R St NW,,,Clarendon - Courthouse,,,,
25,31203,14th & Rhode Island Ave NW,,,Lyon Village,,,,
26,31204,20th & E St NW,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
27,31205,21st & I St NW,,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",,,,
41,31206,19th & E Street NW,,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",,,,
44,31207,Georgia Ave and Fairmont St NW,,,"Capitol Hill, Lincoln Park",,,,
49,31208,M St & New Jersey Ave SE,,,"Shaw, Logan Circle",,,,
45,31209,1st & N St  SE,,,"Brightwood Park, Crestwood, Petworth",,,,
77,31211,Kennedy Center,,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",,,,
53,31212,21st & M St NW,,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",,,,
54,31213,17th & K St NW,,,,,,,
59,31214,17th & Corcoran St NW,,,"Capitol View, Marshall Heights, Benning Heights",,,,
72,31215,Georgetown Harbor / 30th St NW,,,"Cathedral Heights, McLean Gardens, Glover Park",,,,
69,31216,14th St & New York Ave NW,,,"River Terrace, Benning, Greenway, Dupont Park",,,,
71,31217,USDA / 12th & C St SW,,,"Georgetown, Burleith/Hillandale",,,,
75,31218,L'Enfant Plaza / 7th & C St SW,,,"Capitol Hill, Lincoln Park",,,,
76,31219,10th St & Constitution Ave NW,,,"Congress Heights, Bellevue, Washington Highlands",,,,
74,31220,US Dept of State / Virginia Ave & 21st St NW,,,Ashton Heights,,,,
79,31221,18th & M St NW,,,Ballston - Virginia Square,,,,
83,31222,New York Ave & 15th St NW,,,North Highland,,,,
84,31223,Convention Center / 7th & M St NW,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
86,31224,19th & L St NW,,,Lyon Village,,,,
87,31225,C & O Canal & Wisconsin Ave NW,,,North Rosslyn,,,,
90,31226,34th St & Wisconsin Ave NW,,,"Near Southeast, Navy Yard",,,,
91,31227,13th St & New York Ave NW,,,"Cathedral Heights, McLean Gardens, Glover Park",,,,
92,31228,8th & H St NW,,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",,,,
102,31229,New Hampshire Ave & T St NW,,,Ballston - Virginia Square,,,,
103,31230,Metro Center / 12th & G St NW,,,Ballston - Virginia Square,,,,
104,31231,14th & D St NW / Ronald Reagan Building,,,Clarendon - Courthouse,,,,
105,31232,7th & F St NW / National Portrait Gallery,,,"National Mall, Potomac River",,,,
106,31233,17th & K St NW / Farragut Square,,,"National Mall, Potomac River",,,,
107,31234,20th & O St NW / Dupont South,,,Bluemont,,,,
109,31235,19th St & Constitution Ave NW,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
110,31236,37th & O St NW / Georgetown University,,,Colonial Village,,,,
112,31237,25th St & Pennsylvania Ave NW,,,North Highland,,,,
117,31238,14th & G St NW,,,Radnor/Fort Myer Heights,,,,
136,31239,Rhode Island & Connecticut Ave NW,,,Lyon Park,,,,
124,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,,,Ballston - Virginia Square,,,,
137,31241,Thomas Circle,,,Ballston - Virginia Square,,,,
141,31242,18th St & Pennsylvania Ave NW,,,"National Mall, Potomac River",,,,
142,31243,4th & C St SW,,,Historic Anacostia,,,,
143,31244,4th & E St SW,,,Bluemont,,,,
145,31245,7th & R St NW / Shaw Library,,,Ballston - Virginia Square,,,,
153,31246,M St & Pennsylvania Ave NW,,,Ballston - Virginia Square,,,,
168,31247,Jefferson Dr & 14th St SW,,,"Ivy City, Arboretum, Trinidad, Carver Langston",,,,
169,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
178,31249,Jefferson Memorial,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
185,31250,20th & L St NW,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
186,31251,12th & L St NW,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
187,31252,21st St & Pennsylvania Ave NW,,,Alexandria,,,,
188,31253,19th & K St NW,,,Alexandria,,,,
193,31254,15th & K St NW,,,Alexandria,,,,
198,31255,24th & N St NW,,,Alexandria,,,,
199,31256,10th & E St NW,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
200,31257,22nd & I St NW / Foggy Bottom,,,Alexandria,,,,
204,31258,Lincoln Memorial,,,Alexandria,,,,
206,31259,20th St & Virginia Ave NW,,,Alexandria,,,,
126,31260,23rd & E St NW,,,Alexandria,,,,
133,31261,21st St & Constitution Ave NW,,,"West End, Foggy Bottom, GWU",,,,
125,31262,11th & F St NW,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
159,31263,10th & K St NW,,,"West End, Foggy Bottom, GWU",,,,
171,31264,6th St & Indiana Ave NW,,,Ballston - Virginia Square,,,,
207,31265,5th St & Massachusetts Ave NW,,,Clarendon - Courthouse,,,,
115,31266,11th & M St NW,,,Radnor/Fort Myer Heights,,,,
229,31267,17th St & Massachusetts Ave NW,,,"National Mall, Potomac River",,,,
242,31268,12th & U St NW,,,"National Mall, Potomac River",,,,
247,31269,3rd St & Pennsylvania Ave SE,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
248,31270,8th & D St NW,,,"Friendship Heights, American University Park, Tenleytown",,,,
251,31271,Constitution Ave & 2nd St NW/DOL,,,,,,,
252,31272,Washington & Independence Ave SW/HHS,,,"Union Station, Stanton Park, Kingman Park",,,,
305,31273,Hains Point/Buckeye & Ohio Dr SW,,,Columbia Heights,,,,
334,31274,10th & G St NW,,,Columbia Heights,,,,
336,31275,New Hampshire Ave & 24th St NW,,,Long Branch Creek,,,,
348,31276,15th & L St NW,,,"Kalorama Heights, Adams Morgan, Lanier Heights",,,,
349,31277,17th & G St NW,,,"Brightwood Park, Crestwood, Petworth",,,,
351,31278,18th & R St NW,,,"Brightwood Park, Crestwood, Petworth",,,,
357,31279,19th & G St NW,,"Dupont Circle, Connecticut Avenue/K Street","Brightwood Park, Crestwood, Petworth",,,,
367,31280,11th & S St NW,,,"Brightwood Park, Crestwood, Petworth",,,,
370,31281,8th & O St NW,,,Long Branch Creek,,,,
387,31282,16th & R St NW,,,Nauck,,,,
390,31283,14th & L St NW,,,Alcova Heights,,,,
393,31284,18th & C St NW,,,Fairlington,,,,
394,31285,22nd & P ST NW,,,Shirlington,,,,
399,31286,11th & O St NW,,,Nauck,,,,
400,31287,10th St & L'Enfant Plaza SW,,,Silver Spring,,,,
408,31288,4th St & Madison Dr NW,,,"Georgetown, Burleith/Hillandale",,,,
409,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,,,Douglas Park,,,,
410,31290,17th St & Independence Ave SW,,,"North Cleveland Park, Forest Hills, Van Ness",,,,
419,31291,Vermont Ave & I St NW,,,"Dupont Circle, Connecticut Avenue/K Street",,,,
443,31292,22nd St & Constitution Ave NW,,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",,,,
365,31293,31st & Water St NW,,,"Capitol Hill, Lincoln Park",,,,
471,31294,7th & E St SW,,,"Shaw, Logan Circle",,,,
473,31295,Potomac & M St NW,,,"Capitol Hill, Lincoln Park",,,,
474,31296,Columbia & Ontario Rd NW,,,"Union Station, Stanton Park, Kingman Park",,,,
482,31297,Virginia Ave & 25th St NW,,,"Brookland, Brentwood, Langdon",,,,
483,31298,15th & M St NW,,,"Union Station, Stanton Park, Kingman Park",,,,
485,31299,Connecticut Ave & R St NW,,,"Brookland, Brentwood, Langdon",,,,
60,31300,Van Ness Metro / UDC,,,"Congress Heights, Bellevue, Washington Highlands",,,,
63,31301,Ward Circle / American University,,,Historic Anacostia,,,,
64,31302,Wisconsin Ave & Newark St NW,,,"Ivy City, Arboretum, Trinidad, Carver Langston",,,,
80,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,,,"Howard University, Le Droit Park, Cardozo/Shaw",,,,
116,31304,36th & Calvert St NW / Glover Park,,,Clarmont,,,,
35,31305,Connecticut Ave & Newark St NW / Cleveland Park,,,Fairlington,,,,
163,31306,39th & Calvert St NW / Stoddert,,,Lyon Park,,,,
151,31307,3000 Connecticut Ave NW / National Zoo,,,Foxcroft Heights,,,,
208,31308,39th & Veazey St NW,,,"Capitol Hill, Lincoln Park",,,,
209,31309,Fessenden St & Wisconsin Ave NW,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
228,31310,Connecticut & Nebraska Ave NW,,,"Howard University, Le Droit Park, Cardozo/Shaw",,,,
226,31312,Wisconsin Ave & O St NW,,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",,,,
314,31313,Connecticut Ave & Tilden St NW,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
330,31314,34th & Water St NW,,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",,,,
347,31315,McKinley St & Connecticut Ave NW,,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",,,,
376,31316,Yuma St & Tenley Circle NW,,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",,,,
385,31317,Wisconsin Ave & Ingomar St NW,,,Columbia Heights,,,,
401,31318,Connecticut Ave & Yuma St NW,,,Arlington Mill,,,,
420,31319,Wisconsin Ave & Brandywine St NW,,,Buckingham,,,,
487,31320,Nebraska Ave/AU East Campus,,,Silver Spring,,,,
488,31321,15th St & Constitution Ave NW,,,Besthesda,,,,
28,31400,Georgia & New Hampshire Ave NW,,,Besthesda,,,,
29,31401,14th St & Spring Rd NW,,,Derwood,,,,
65,31402,14th St Heights / 14th & Crittenden St NW,,,Derwood,,,,
215,31403,5th & Kennedy St NW,,,Besthesda,,,,
146,31404,9th & Upshur St NW,,,Rockville,,,,
216,31405,Georgia Ave & Emerson St NW,,,Besthesda,,,,
217,31406,14th & Upshur St NW,,,Rockville,,,,
218,31407,14th St & Colorado Ave NW,,,Takoma Park,,,,
321,31408,Takoma Metro,,,Takoma Park,,,,
371,31411,Georgia & Missouri Ave NW,,,Silver Spring,,,,
455,31412,3rd St & Riggs Rd NE,,,Besthesda,,,,
469,31413,3rd & Underwood St NW,,,Friendship Village,,,,
449,31414,Georgia Ave & Piney Branch Rd NW,,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",,,,
508,31415,Georgia Ave & Kennedy St NW,,,"Near Southeast, Navy Yard",,,,
42,31500,4th & W St NE,,,"Howard University, Le Droit Park, Cardozo/Shaw",,,,
73,31501,12th & Newton St NE,,,"Near Southeast, Navy Yard",,,,
30,31502,John McCormack Dr & Michigan Ave NE,,,Derwood,,,,
61,31503,Florida Ave & R St NW,,,Derwood,,,,
93,31504,10th & Monroe St NE,,,Rockville,,,,
94,31505,Eckington Pl & Q St NE,,,Derwood,,,,
147,31506,1st & Rhode Island Ave NW,,,Silver Spring,,,,
164,31507,1st & Washington Hospital Center NW,,,Derwood,,,,
183,31508,Gallaudet / 8th St & Florida Ave NE,,,Besthesda,,,,
232,31509,New Jersey Ave & R St NW,,,Silver Spring,,,,
235,31510,18th St & Rhode Island Ave NE,,,Rockville,,,,
237,31511,12th & Irving St NE,,,Silver Spring,,,,
241,31512,Neal St & Trinidad Ave NE,,,Takoma Park,,,,
250,31513,Rhode Island Ave & V St NE,,,Takoma Park,,,,
254,31514,Hamlin & 7th St NE,,,Besthesda,,,,
320,31515,Fort Totten Metro,,,Besthesda,,,,
322,31516,Rhode Island Ave Metro,,,Besthesda,,,,
353,31517,Union Market/6th St & Neal Pl NE,,,Derwood,,,,
375,31518,New York Ave & Hecht Ave NE,,,,,,,
391,31519,1st & O St NW,,,Rockville,,,,
421,31520,24th & R St NE / National Arboretum,,,Derwood,,,,
470,31521,18th & Monroe St NE,,,Silver Spring,,,,
358,31522,2nd St & Seaton Pl NE,,,Silver Spring,,,,
506,31523,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,,,Silver Spring,,,,
31,31600,5th & K St NW,,,Derwood,,,,
32,31601,19th & East Capitol St SE,,,Derwood,,,,
33,31602,Park Rd & Holmead Pl NW,,,"Cathedral Heights, McLean Gardens, Glover Park",,,,
52,31603,1st & M St NE,,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",,,,
55,31604,3rd & H St NW,,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",,,,
56,31605,3rd & D St SE,,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",,,,
57,31606,Potomac & Pennsylvania Ave SE,,,"National Mall, Potomac River",,,,
58,31607,14th & D St SE,,,Lyon Park,,,,
62,31608,8th & Eye St SE / Barracks Row,,,Crystal City,,,,
88,31609,Maine Ave & 7th St SW,,,Besthesda,,,,
68,31610,Eastern Market / 7th & North Carolina Ave SE,,,Friendship Village,,,,
81,31611,13th & H St NE,,,"Union Station, Stanton Park, Kingman Park",,,,
89,31612,D St & Maryland Ave NE,,,Fairlington,,,,
78,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,,,Penrose,,,,
111,31614,11th & H St NE,,,,,,,
95,31615,6th & H St NE,,,,,,,
96,31616,3rd & H St NE,,,Derwood,,,,
97,31617,Bladensburg Rd & Benning Rd NE,,,Derwood,,,,
98,31618,4th & East Capitol St NE,,,Silver Spring,,,,
99,31619,Lincoln Park / 13th & East Capitol St NE,,,Rockville,,,,
82,31620,5th & F St NW,,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",,,,
108,31621,4th & D St NW / Judiciary Square,,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",,,,
101,31622,13th & D St NE,,,"Takoma, Brightwood, Manor Park",,,,
113,31623,Columbus Circle / Union Station,,,"Brookland, Brentwood, Langdon",,,,
114,31624,North Capitol St & F St NW,,,Penrose,,,,
144,31625,3rd & G St SE,,,Shirlington,,,,
154,31626,15th St & Massachusetts Ave SE,,,Derwood,,,,
210,31627,3rd & M St NE,,,Westwood,,,,
162,31628,1st & K St SE,,,Rockville,,,,
231,31629,8th & East Capitol St NE,,,,,,,
233,31630,15th & East Capitol St NE,,,Radnor/Fort Myer Heights,,,,
234,31631,8th & F St NE,,,"Georgetown, Burleith/Hillandale",,,,
236,31632,15th & F St NE,,,Alexandria,,,,
253,31633,Independence Ave & L'Enfant Plaza SW/DOE,,,Lyon Village,,,,
273,31634,3rd & Tingey St SE,,,Alcova Heights,,,,
275,31635,Potomac Ave & 8th St SE,,,,,,,
302,31636,New Jersey Ave & N St NW/Dunbar HS,,,North Highland,,,,
310,31637,North Capitol St & G Pl NE,,,"West End, Foggy Bottom, GWU",,,,
319,31638,1st & H St NW,,,Alexandria,,,,
369,31639,2nd & G St NE,,,Alexandria,,,,
374,31640,Maryland Ave & E St NE,,,Alexandria,,,,
402,31641,2nd St & Massachusetts Ave NE,,,Alexandria,,,,
413,31642,New Jersey Ave & L St NW,,,Alexandria,,,,
439,31643,1st & D St SE,,,Alexandria,,,,
454,31644,12th St & Pennsylvania Ave SE,,,Alexandria,,,,
458,31645,6th & K St NE,,,Clarendon - Courthouse,,,,
505,31646,Maine Ave & 9th St SW,,,,,,,
509,31647,7th St & Massachusetts Ave NE,,,,,,,
34,31700,Good Hope & Naylor Rd SE,,,,,,,
