"","Date","Rides","WND","DEW","VIS","TMP","Members","Holiday","Day","Weekend"
"33",2011-01-02 08:00:00,8,"200,5,N,0036,5","+0130,5","012875,5,N,5","+0140,5",8,0,"Sun",1
"34",2011-01-02 09:00:00,19,"320,5,N,0062,5","+0130,5","016093,5,N,5","+0150,5",18,0,"Sun",1
"35",2011-01-02 10:00:00,53,"340,5,N,0057,5","+0080,5","016093,5,N,5","+0120,5",46,0,"Sun",1
"36",2011-01-02 11:00:00,68,"340,5,N,0046,5","+0056,5","016093,5,N,5","+0111,5",52,0,"Sun",1
"37",2011-01-02 12:00:00,89,"340,5,N,0041,5","+0056,5","016093,5,N,5","+0106,5",69,0,"Sun",1
"38",2011-01-02 13:00:00,73,"340,5,N,0046,5","+0056,5","016093,5,N,5","+0100,5",63,0,"Sun",1
"39",2011-01-02 14:00:00,57,"350,5,N,0041,5","+0060,5","016093,5,N,5","+0100,5",53,0,"Sun",1
"40",2011-01-02 15:00:00,73,"360,5,N,0046,5","+0044,5","016093,5,N,5","+0094,5",54,0,"Sun",1
"41",2011-01-02 16:00:00,74,"010,5,N,0057,5","+0033,5","016093,5,N,5","+0089,5",65,0,"Sun",1
"42",2011-01-02 17:00:00,64,"360,5,N,0026,5","+0028,5","016093,5,N,5","+0094,5",57,0,"Sun",1
"43",2011-01-02 18:00:00,51,"350,5,N,0036,5","+0050,5","014484,5,N,5","+0089,5",41,0,"Sun",1
"44",2011-01-02 19:00:00,29,"360,5,N,0031,5","+0050,5","014484,5,N,5","+0083,5",28,0,"Sun",1
"45",2011-01-02 20:00:00,22,"360,5,N,0031,5","+0033,5","016093,5,N,5","+0078,5",17,0,"Sun",1
"46",2011-01-02 21:00:00,31,"340,5,N,0036,5","+0000,5","016093,5,N,5","+0083,5",20,0,"Sun",1
"47",2011-01-02 22:00:00,9,"330,5,N,0062,5","-0017,5","016093,5,N,5","+0089,5",9,0,"Sun",1
"48",2011-01-02 23:00:00,7,"300,5,N,0082,5","-0050,5","016093,5,N,5","+0067,5",7,0,"Sun",1
"49",2011-01-03 00:00:00,5,"320,5,N,0067,5","-0067,5","016093,5,N,5","+0056,5",5,0,"Mon",0
"50",2011-01-03 01:00:00,2,"320,5,N,0062,5","-0072,5","016093,5,N,5","+0044,5",2,0,"Mon",0
"51",2011-01-03 02:00:00,0,"330,5,N,0057,5","-0078,5","016093,5,N,5","+0033,5",0,0,"Mon",0
"52",2011-01-03 03:00:00,0,"320,5,N,0031,5","-0083,5","016093,5,N,5","+0022,5",0,0,"Mon",0
"53",2011-01-03 04:00:00,1,"330,5,N,0067,5","-0094,5","016093,5,N,5","+0017,5",1,0,"Mon",0
"54",2011-01-03 05:00:00,3,"310,5,N,0077,5","-0100,5","016093,5,N,5","+0011,5",3,0,"Mon",0
"55",2011-01-03 06:00:00,28,"320,5,N,0067,5","-0100,5","016093,5,N,5","+0006,5",28,0,"Mon",0
"56",2011-01-03 07:00:00,63,"310,5,N,0062,5","-0106,5","016093,5,N,5","+0000,5",62,0,"Mon",0
"57",2011-01-03 08:00:00,152,"310,5,N,0072,5","-0111,5","016093,5,N,5","-0006,5",151,0,"Mon",0
"58",2011-01-03 09:00:00,86,"320,5,N,0051,5","-0106,5","016093,5,N,5","-0011,5",79,0,"Mon",0
"59",2011-01-03 10:00:00,38,"320,5,N,0072,5","-0106,5","016093,5,N,5","-0017,5",27,0,"Mon",0
"60",2011-01-03 11:00:00,45,"320,5,N,0036,5","-0111,5","016093,5,N,5","-0017,5",35,0,"Mon",0
"61",2011-01-03 12:00:00,53,"340,5,N,0051,5","-0111,5","016093,5,N,5","-0017,5",40,0,"Mon",0
"62",2011-01-03 13:00:00,58,"320,5,N,0072,5","-0117,5","016093,5,N,5","-0011,5",50,0,"Mon",0
"63",2011-01-03 14:00:00,70,"320,5,N,0046,5","-0111,5","016093,5,N,5","+0000,5",59,0,"Mon",0
"64",2011-01-03 15:00:00,72,"320,5,V,0062,5","-0111,5","016093,5,N,5","+0011,5",58,0,"Mon",0
"65",2011-01-03 16:00:00,75,"320,5,N,0057,5","-0117,5","016093,5,N,5","+0022,5",66,0,"Mon",0
"66",2011-01-03 17:00:00,154,"290,5,N,0051,5","-0111,5","016093,5,N,5","+0033,5",143,0,"Mon",0
"67",2011-01-03 18:00:00,156,"280,5,N,0051,5","-0117,5","016093,5,N,5","+0039,5",147,0,"Mon",0
"68",2011-01-03 19:00:00,107,"310,5,N,0046,5","-0117,5","016093,5,N,5","+0044,5",99,0,"Mon",0
"69",2011-01-03 20:00:00,51,"320,5,N,0046,5","-0122,5","016093,5,N,5","+0044,5",48,0,"Mon",0
"70",2011-01-03 21:00:00,51,"290,5,N,0041,5","-0128,5","016093,5,N,5","+0033,5",48,0,"Mon",0
"71",2011-01-03 22:00:00,19,"280,5,N,0021,5","-0122,5","016093,5,N,5","+0028,5",19,0,"Mon",0
"72",2011-01-03 23:00:00,12,"999,9,C,0000,5","-0089,5","016093,5,N,5","+0011,5",11,0,"Mon",0
"73",2011-01-04 00:00:00,5,"220,5,N,0021,5","-0089,5","016093,5,N,5","+0006,5",5,0,"Tue",0
"74",2011-01-04 01:00:00,2,"200,5,N,0026,5","-0061,5","016093,5,N,5","+0000,5",2,0,"Tue",0
"75",2011-01-04 02:00:00,1,"190,5,N,0026,5","-0072,5","016093,5,N,5","-0017,5",1,0,"Tue",0
"76",2011-01-04 03:00:00,0,"210,5,N,0021,5","-0083,5","016093,5,N,5","+0000,5",0,0,"Tue",0
"77",2011-01-04 04:00:00,2,"210,5,N,0021,5","-0089,5","016093,5,N,5","-0011,5",2,0,"Tue",0
"78",2011-01-04 05:00:00,4,"210,5,N,0021,5","-0083,5","016093,5,N,5","-0011,5",4,0,"Tue",0
"79",2011-01-04 06:00:00,36,"200,5,N,0026,5","-0078,5","016093,5,N,5","-0022,5",36,0,"Tue",0
"80",2011-01-04 07:00:00,93,"210,5,N,0021,5","-0078,5","016093,5,N,5","-0017,5",91,0,"Tue",0
"81",2011-01-04 08:00:00,177,"200,5,N,0015,5","-0078,5","016093,5,N,5","-0017,5",175,0,"Tue",0
"82",2011-01-04 09:00:00,100,"210,5,N,0021,5","-0078,5","016093,5,N,5","-0028,5",98,0,"Tue",0
"83",2011-01-04 10:00:00,40,"210,5,N,0021,5","-0067,5","016093,5,N,5","-0028,5",35,0,"Tue",0
"84",2011-01-04 11:00:00,56,"220,5,N,0026,5","-0067,5","016093,5,N,5","-0028,5",49,0,"Tue",0
"85",2011-01-04 12:00:00,74,"200,5,N,0031,5","-0067,5","016093,5,N,5","-0017,5",62,0,"Tue",0
"86",2011-01-04 13:00:00,96,"200,5,N,0041,5","-0067,5","016093,5,N,5","-0011,5",78,0,"Tue",0
"87",2011-01-04 14:00:00,62,"210,5,N,0062,5","-0061,5","016093,5,N,5","-0006,5",53,0,"Tue",0
"88",2011-01-04 15:00:00,64,"210,5,N,0057,5","-0067,5","016093,5,N,5","+0017,5",47,0,"Tue",0
"89",2011-01-04 16:00:00,82,"190,5,N,0031,5","-0067,5","016093,5,N,5","+0022,5",67,0,"Tue",0
"90",2011-01-04 17:00:00,210,"170,5,N,0036,5","-0050,5","016093,5,N,5","+0033,5",200,0,"Tue",0
"91",2011-01-04 18:00:00,182,"170,5,N,0041,5","-0050,5","016093,5,N,5","+0044,5",179,0,"Tue",0
"92",2011-01-04 19:00:00,106,"180,5,N,0046,5","-0044,5","016093,5,N,5","+0050,5",104,0,"Tue",0
"93",2011-01-04 20:00:00,52,"180,5,N,0046,5","-0039,5","016093,5,N,5","+0056,5",52,0,"Tue",0
"94",2011-01-04 21:00:00,46,"190,5,N,0041,5","-0050,5","016093,5,N,5","+0050,5",46,0,"Tue",0
"95",2011-01-04 22:00:00,35,"200,5,N,0036,5","-0061,5","016093,5,N,5","+0039,5",34,0,"Tue",0
"96",2011-01-04 23:00:00,11,"210,5,N,0021,5","-0067,5","016093,5,N,5","+0033,5",9,0,"Tue",0
"97",2011-01-05 00:00:00,6,"210,5,N,0021,5","-0067,5","016093,5,N,5","+0033,5",6,0,"Wed",0
"98",2011-01-05 01:00:00,6,"999,9,C,0000,5","-0044,5","016093,5,N,5","+0017,5",6,0,"Wed",0
"99",2011-01-05 02:00:00,2,"170,5,N,0015,5","-0039,5","016093,5,N,5","+0017,5",2,0,"Wed",0
"100",2011-01-05 03:00:00,0,"190,5,N,0015,5","-0039,5","016093,5,N,5","+0011,5",0,0,"Wed",0
"101",2011-01-05 04:00:00,2,"999,9,C,0000,5","-0050,5","016093,5,N,5","+0011,5",2,0,"Wed",0
"102",2011-01-05 05:00:00,3,"350,5,N,0015,5","-0050,5","016093,5,N,5","-0006,5",3,0,"Wed",0
"103",2011-01-05 06:00:00,33,"310,5,N,0041,5","-0067,5","016093,5,N,5","+0039,5",33,0,"Wed",0
"104",2011-01-05 07:00:00,87,"310,5,N,0072,5","-0072,5","016093,5,N,5","+0044,5",86,0,"Wed",0
"105",2011-01-05 08:00:00,192,"310,5,N,0041,5","-0072,5","016093,5,N,5","+0028,5",189,0,"Wed",0
"106",2011-01-05 09:00:00,113,"330,5,N,0031,5","-0078,5","016093,5,N,5","+0022,5",107,0,"Wed",0
"107",2011-01-05 10:00:00,55,"340,5,N,0041,5","-0089,5","016093,5,N,5","+0011,5",51,0,"Wed",0
"108",2011-01-05 11:00:00,46,"340,5,N,0036,5","-0106,5","016093,5,N,5","+0000,5",34,0,"Wed",0
"109",2011-01-05 12:00:00,78,"340,5,N,0057,5","-0106,5","016093,5,N,5","+0006,5",73,0,"Wed",0
"110",2011-01-05 13:00:00,70,"340,5,N,0062,5","-0106,5","016093,5,N,5","+0017,5",64,0,"Wed",0
"111",2011-01-05 14:00:00,59,"340,5,N,0062,5","-0106,5","016093,5,N,5","+0022,5",49,0,"Wed",0
"112",2011-01-05 15:00:00,59,"340,5,N,0062,5","-0111,5","016093,5,N,5","+0039,5",52,0,"Wed",0
"113",2011-01-05 16:00:00,87,"320,5,N,0062,5","-0106,5","016093,5,N,5","+0044,5",83,0,"Wed",0
"114",2011-01-05 17:00:00,187,"350,5,N,0057,5","-0106,5","016093,5,N,5","+0050,5",183,0,"Wed",0
"115",2011-01-05 18:00:00,168,"320,5,N,0036,5","-0106,5","016093,5,N,5","+0056,5",165,0,"Wed",0
"116",2011-01-05 19:00:00,130,"280,5,N,0036,5","-0106,5","016093,5,N,5","+0061,5",125,0,"Wed",0
"117",2011-01-05 20:00:00,86,"360,5,N,0015,5","-0106,5","016093,5,N,5","+0056,5",79,0,"Wed",0
"118",2011-01-05 21:00:00,43,"350,5,N,0036,5","-0100,5","016093,5,N,5","+0028,5",40,0,"Wed",0
"119",2011-01-05 22:00:00,40,"360,5,N,0026,5","-0100,5","016093,5,N,5","+0028,5",39,0,"Wed",0
"120",2011-01-05 23:00:00,19,"070,5,N,0021,5","-0100,5","016093,5,N,5","+0028,5",18,0,"Wed",0
"121",2011-01-06 00:00:00,11,"040,5,N,0031,5","-0083,5","016093,5,N,5","+0017,5",11,0,"Thu",0
"122",2011-01-06 01:00:00,4,"050,5,N,0036,5","-0083,5","016093,5,N,5","+0011,5",4,0,"Thu",0
"123",2011-01-06 02:00:00,2,"050,5,N,0026,5","-0078,5","016093,5,N,5","+0000,5",2,0,"Thu",0
"124",2011-01-06 03:00:00,0,"999,9,C,0000,5","-0089,5","016093,5,N,5","+0006,5",0,0,"Thu",0
"125",2011-01-06 04:00:00,1,"999,9,C,0000,5","-0083,5","016093,5,N,5","+0000,5",1,0,"Thu",0
"126",2011-01-06 05:00:00,4,"999,9,C,0000,5","-0072,5","016093,5,N,5","-0011,5",4,0,"Thu",0
"127",2011-01-06 06:00:00,36,"030,5,N,0015,5","-0072,5","016093,5,N,5","-0017,5",36,0,"Thu",0
"128",2011-01-06 07:00:00,93,"999,9,C,0000,5","-0072,5","016093,5,N,5","-0011,5",93,0,"Thu",0
"129",2011-01-06 08:00:00,211,"030,5,N,0021,5","-0067,5","016093,5,N,5","-0017,5",208,0,"Thu",0
"130",2011-01-06 09:00:00,117,"030,5,N,0015,5","-0070,5","016093,5,N,5","-0010,5",111,0,"Thu",0
"131",2011-01-06 10:00:00,45,"040,5,N,0021,5","-0078,5","016093,5,N,5","-0022,5",42,0,"Thu",0
"132",2011-01-06 11:00:00,58,"999,9,C,0000,5","-0078,5","016093,5,N,5","-0011,5",56,0,"Thu",0
"133",2011-01-06 12:00:00,83,"999,9,C,0000,5","-0083,5","016093,5,N,5","-0011,5",77,0,"Thu",0
"134",2011-01-06 13:00:00,67,"999,9,C,0000,5","-0089,5","016093,5,N,5","+0000,5",55,0,"Thu",0
"135",2011-01-06 14:00:00,67,"999,9,C,0000,5","-0094,5","016093,5,N,5","+0011,5",56,0,"Thu",0
"136",2011-01-06 15:00:00,61,"100,5,N,0015,5","-0094,5","016093,5,N,5","+0017,5",53,0,"Thu",0
"137",2011-01-06 16:00:00,85,"999,9,V,0015,5","-0100,5","016093,5,N,5","+0039,5",73,0,"Thu",0
"138",2011-01-06 17:00:00,171,"300,5,N,0021,5","-0100,5","016093,5,N,5","+0039,5",162,0,"Thu",0
"139",2011-01-06 18:00:00,158,"280,5,N,0031,5","-0094,5","016093,5,N,5","+0050,5",153,0,"Thu",0
"140",2011-01-06 19:00:00,111,"999,9,V,0031,5","-0094,5","016093,5,N,5","+0050,5",108,0,"Thu",0
"141",2011-01-06 20:00:00,67,"190,5,N,0031,5","-0094,5","016093,5,N,5","+0039,5",64,0,"Thu",0
"142",2011-01-06 21:00:00,47,"180,5,N,0031,5","-0067,5","016093,5,N,5","+0022,5",47,0,"Thu",0
"143",2011-01-06 22:00:00,51,"180,5,N,0026,5","-0072,5","016093,5,N,5","+0017,5",50,0,"Thu",0
"144",2011-01-06 23:00:00,23,"180,5,N,0015,5","-0061,5","016093,5,N,5","+0017,5",19,0,"Thu",0
"145",2011-01-07 00:00:00,16,"160,5,N,0031,5","-0078,5","016093,5,N,5","+0011,5",12,0,"Fri",0
"146",2011-01-07 01:00:00,7,"170,5,N,0041,5","-0061,5","016093,5,N,5","+0017,5",5,0,"Fri",0
"147",2011-01-07 02:00:00,1,"180,5,N,0051,5","-0067,5","016093,5,N,5","+0017,5",1,0,"Fri",0
"148",2011-01-07 03:00:00,0,"200,5,N,0036,5","-0061,5","016093,5,N,5","+0011,5",0,0,"Fri",0
"149",2011-01-07 04:00:00,1,"190,5,N,0041,5","-0056,5","016093,5,N,5","+0011,5",1,0,"Fri",0
"150",2011-01-07 05:00:00,5,"180,5,N,0036,5","-0050,5","016093,5,N,5","+0010,5",5,0,"Fri",0
"151",2011-01-07 06:00:00,34,"180,5,N,0036,5","-0050,5","016093,5,N,5","+0011,5",26,0,"Fri",0
"152",2011-01-07 07:00:00,82,"170,5,N,0041,5","-0050,5","016093,5,N,5","+0011,5",74,0,"Fri",0
"153",2011-01-07 08:00:00,209,"200,5,N,0026,5","-0044,5","016093,5,N,5","+0006,5",189,0,"Fri",0
"154",2011-01-07 09:00:00,132,"290,5,N,0021,5","-0050,5","016093,5,N,5","+0011,5",123,0,"Fri",0
"155",2011-01-07 10:00:00,63,"999,9,C,0000,5","-0060,5","016093,5,N,5","+0020,5",47,0,"Fri",0
"156",2011-01-07 11:00:00,66,"310,5,N,0026,5","-0044,5","016093,5,N,5","+0011,5",47,0,"Fri",0
"157",2011-01-07 12:00:00,59,"320,5,N,0046,5","-0083,5","016093,5,N,5","+0011,5",50,0,"Fri",0
"158",2011-01-07 13:00:00,72,"310,5,N,0057,5","-0089,5","016093,5,N,5","+0011,5",63,0,"Fri",0
"159",2011-01-07 14:00:00,49,"310,5,N,0062,5","-0106,5","016093,5,N,5","+0017,5",42,0,"Fri",0
"160",2011-01-07 15:00:00,72,"310,5,N,0041,5","-0106,5","016093,5,N,5","+0011,5",63,0,"Fri",0
"161",2011-01-07 16:00:00,86,"310,5,N,0046,5","-0122,5","016093,5,N,5","+0011,5",81,0,"Fri",0
"162",2011-01-07 17:00:00,186,"290,5,N,0051,5","-0122,5","016093,5,N,5","+0011,5",177,0,"Fri",0
"163",2011-01-07 18:00:00,122,"010,5,N,0046,5","-0111,5","016093,5,N,5","+0011,5",115,0,"Fri",0
"164",2011-01-07 19:00:00,94,"360,5,N,0031,5","-0117,5","016093,5,N,5","+0006,5",91,0,"Fri",0
"165",2011-01-07 20:00:00,49,"350,5,N,0031,5","-0117,5","016093,5,N,5","+0011,5",48,0,"Fri",0
"166",2011-01-07 21:00:00,38,"999,9,C,0000,5","-0117,5","016093,5,N,5","+0006,5",38,0,"Fri",0
"167",2011-01-07 22:00:00,36,"120,5,N,0015,5","-0106,5","016093,5,N,5","+0006,5",34,0,"Fri",0
"168",2011-01-07 23:00:00,15,"140,5,N,0015,5","-0094,5","016093,5,N,5","-0006,5",14,0,"Fri",0
"169",2011-01-08 00:00:00,25,"130,5,N,0021,5","-0100,5","016093,5,N,5","+0000,5",24,0,"Sat",1
"170",2011-01-08 01:00:00,16,"120,5,N,0026,5","-0100,5","016093,5,N,5","+0000,5",15,0,"Sat",1
"171",2011-01-08 02:00:00,16,"110,5,N,0031,5","-0106,5","016093,5,N,5","+0000,5",13,0,"Sat",1
"172",2011-01-08 03:00:00,7,"160,5,N,0026,5","-0100,5","016093,5,N,5","+0000,5",7,0,"Sat",1
"173",2011-01-08 04:00:00,1,"160,5,N,0031,5","-0090,5","016093,5,N,5","+0000,5",1,0,"Sat",1
"174",2011-01-08 05:00:00,5,"160,5,N,0026,5","-0090,5","016093,5,N,5","+0000,5",5,0,"Sat",1
"175",2011-01-08 06:00:00,2,"150,5,N,0015,5","-0080,5","014484,5,N,5","+0000,5",2,0,"Sat",1
"176",2011-01-08 07:00:00,9,"999,9,C,0000,5","-0080,5","016093,5,N,5","+0000,5",8,0,"Sat",1
"177",2011-01-08 08:00:00,15,"160,5,N,0031,5","-0067,5","014484,5,N,5","+0000,5",15,0,"Sat",1
"178",2011-01-08 09:00:00,19,"160,5,N,0031,5","-0050,5","016093,5,N,5","-0006,5",19,0,"Sat",1
"179",2011-01-08 10:00:00,59,"140,5,N,0031,5","-0044,5","009656,5,N,5","-0006,5",54,0,"Sat",1
"180",2011-01-08 11:00:00,62,"130,5,N,0026,5","-0050,5","014484,5,N,5","-0010,5",60,0,"Sat",1
"181",2011-01-08 12:00:00,96,"250,5,N,0015,5","-0050,5","016093,5,N,5","-0006,5",88,0,"Sat",1
"182",2011-01-08 13:00:00,100,"999,9,C,0000,5","-0040,5","002816,5,N,5","-0010,5",93,0,"Sat",1
"183",2011-01-08 14:00:00,94,"999,9,C,0000,5","-0030,5","011265,5,N,5","-0010,5",82,0,"Sat",1
"184",2011-01-08 15:00:00,68,"300,5,N,0031,5","-0030,5","014484,5,N,5","+0000,5",63,0,"Sat",1
"185",2011-01-08 16:00:00,73,"320,5,N,0072,5","-0040,5","016093,5,N,5","+0010,5",65,0,"Sat",1
"186",2011-01-08 17:00:00,67,"300,5,N,0062,5","-0100,5","016093,5,N,5","+0011,5",62,0,"Sat",1
"187",2011-01-08 18:00:00,55,"310,5,N,0093,5","-0139,5","016093,5,N,5","+0011,5",52,0,"Sat",1
"188",2011-01-08 19:00:00,30,"320,5,N,0082,5","-0144,5","016093,5,N,5","+0011,5",26,0,"Sat",1
"189",2011-01-08 20:00:00,27,"290,5,N,0082,5","-0156,5","016093,5,N,5","+0000,5",27,0,"Sat",1
"190",2011-01-08 21:00:00,37,"300,5,N,0103,5","-0139,5","016093,5,N,5","-0011,5",35,0,"Sat",1
"191",2011-01-08 22:00:00,34,"290,5,N,0057,5","-0144,5","016093,5,N,5","-0017,5",33,0,"Sat",1
"192",2011-01-08 23:00:00,22,"300,5,N,0046,5","-0150,5","016093,5,N,5","-0022,5",22,0,"Sat",1
"193",2011-01-09 00:00:00,25,"290,5,N,0046,5","-0156,5","016093,5,N,5","-0028,5",24,0,"Sun",1
"194",2011-01-09 01:00:00,12,"290,5,N,0067,5","-0150,5","016093,5,N,5","-0033,5",12,0,"Sun",1
"195",2011-01-09 02:00:00,11,"280,5,N,0072,5","-0156,5","016093,5,N,5","-0033,5",11,0,"Sun",1
"196",2011-01-09 03:00:00,4,"290,5,N,0082,5","-0156,5","016093,5,N,5","-0039,5",4,0,"Sun",1
"197",2011-01-09 04:00:00,1,"310,5,N,0072,5","-0150,5","016093,5,N,5","-0044,5",1,0,"Sun",1
"198",2011-01-09 05:00:00,1,"300,5,N,0088,5","-0150,5","016093,5,N,5","-0044,5",1,0,"Sun",1
"199",2011-01-09 06:00:00,1,"290,5,N,0088,5","-0144,5","016093,5,N,5","-0044,5",1,0,"Sun",1
"200",2011-01-09 07:00:00,6,"290,5,N,0077,5","-0139,5","016093,5,N,5","-0044,5",5,0,"Sun",1
"201",2011-01-09 08:00:00,10,"300,5,N,0036,5","-0133,5","016093,5,N,5","-0050,5",10,0,"Sun",1
"202",2011-01-09 09:00:00,19,"300,5,N,0046,5","-0133,5","016093,5,N,5","-0050,5",19,0,"Sun",1
"203",2011-01-09 10:00:00,48,"300,5,N,0051,5","-0133,5","016093,5,N,5","-0044,5",48,0,"Sun",1
"204",2011-01-09 11:00:00,47,"300,5,N,0036,5","-0133,5","016093,5,N,5","-0050,5",45,0,"Sun",1
"205",2011-01-09 12:00:00,81,"280,5,N,0051,5","-0133,5","016093,5,N,5","-0044,5",77,0,"Sun",1
"206",2011-01-09 13:00:00,74,"300,5,N,0098,5","-0133,5","016093,5,N,5","-0033,5",68,0,"Sun",1
"207",2011-01-09 14:00:00,68,"310,5,N,0072,5","-0128,5","016093,5,N,5","-0022,5",60,0,"Sun",1
"208",2011-01-09 15:00:00,81,"320,5,N,0098,5","-0128,5","016093,5,N,5","-0011,5",76,0,"Sun",1
"209",2011-01-09 16:00:00,88,"320,5,V,0082,5","-0128,5","016093,5,N,5","+0000,5",75,0,"Sun",1
"210",2011-01-09 17:00:00,62,"300,5,N,0082,5","-0128,5","016093,5,N,5","+0006,5",59,0,"Sun",1
"211",2011-01-09 18:00:00,47,"290,5,N,0088,5","-0128,5","016093,5,N,5","+0017,5",43,0,"Sun",1
"212",2011-01-09 19:00:00,40,"300,5,N,0067,5","-0122,5","016093,5,N,5","+0017,5",39,0,"Sun",1
"213",2011-01-09 20:00:00,37,"290,5,N,0082,5","-0128,5","016093,5,N,5","+0011,5",37,0,"Sun",1
"214",2011-01-09 21:00:00,19,"300,5,N,0072,5","-0133,5","016093,5,N,5","+0000,5",18,0,"Sun",1
"215",2011-01-09 22:00:00,15,"290,5,N,0062,5","-0128,5","016093,5,N,5","-0006,5",10,0,"Sun",1
"216",2011-01-09 23:00:00,6,"300,5,N,0062,5","-0122,5","016093,5,N,5","-0006,5",6,0,"Sun",1
"217",2011-01-10 00:00:00,4,"310,5,N,0046,5","-0122,5","016093,5,N,5","-0017,5",2,0,"Mon",0
"218",2011-01-10 01:00:00,1,"320,5,N,0077,5","-0122,5","016093,5,N,5","-0017,5",0,0,"Mon",0
"219",2011-01-10 02:00:00,3,"300,5,N,0057,5","-0122,5","016093,5,N,5","-0022,5",3,0,"Mon",0
"220",2011-01-10 03:00:00,1,"320,5,N,0036,5","-0122,5","016093,5,N,5","-0028,5",1,0,"Mon",0
"221",2011-01-10 04:00:00,3,"340,5,N,0051,5","-0122,5","016093,5,N,5","-0033,5",2,0,"Mon",0
"222",2011-01-10 05:00:00,3,"320,5,N,0051,5","-0122,5","016093,5,N,5","-0033,5",3,0,"Mon",0
"223",2011-01-10 06:00:00,29,"290,5,N,0041,5","-0122,5","016093,5,N,5","-0033,5",29,0,"Mon",0
"224",2011-01-10 07:00:00,75,"290,5,N,0041,5","-0122,5","016093,5,N,5","-0033,5",73,0,"Mon",0
